Title,Authors,Conference,Location,Year,Status
Effect of Illuminated Crosswalk at Signalized Intersection in a Connected Simulator: An Effectiveness Assessment Based on Survival Analysis of Waiting Duration,"Surya C S, Krishna, K. V., Choudhary, P. and Sonal Atreya","106th Annual Transportation Research Board (TRB) Meeting, 2027","Washington, U.S.A",2027,Under review
Can Haptic Wearable Device (HWD) Reduce Risky Pedestrian Crossing Behavior? Investigating using a VR-based Co-Simulation Approach,"Surya C S, Krishna, K. V., Choudhary, P. and Sonal Atreya","106th Annual Transportation Research Board (TRB) Meeting, 2027","Washington, U.S.A",2027,Under review
Investigating the Effect of External Human Machine Interface (eHMI) on Pedestrians’ Risky Crossing Decision: Insights from a Field Study,"Surya C S, Krishna, K. V., Choudhary, P. and Sonal Atreya","106th Annual Transportation Research Board (TRB) Meeting, 2027","Washington, U.S.A",2027,Under review
Probing the Influence of Distraction Activities on Pedestrians’ Awareness with Markov Entropy,"Krishna, K. V., and Choudhary, P","106th Annual Transportation Research Board (TRB) Meeting, 2027","Washington, U.S.A",2027,Under review
Examining the variations in situational awareness of impaired pedestrians using Markov Entropy modelling,"Krishna, K. V., and Choudhary, P","37th International Co-operation on Theories and Concepts in Traffic Safety (ICTCT), 2025","Berlin, Germany",2025,Presented
A Software Solution for Analysis and Heatmap generation for Pupil Core Eye Tracking Data,"Vanshmeet, K., Jain, V., Krishna, K. V. and Choudhary, P","38th International Co-operation on Theories and Concepts in Traffic Safety (ICTCT), 2025","Berlin, Germany",2025,Presented
Estimating Situational Awareness and Predicting Gaze Allocation Strategies for Pedestrians Using Markov Model,"Krishna, K. V., and Choudhary, P",Transportation Research Symposium (TRS) 2025,"Rotterdam, Netherlands",2025,Presented
Assessing the Implications of Distraction on Waiting Time of Pedestrians: An Accelerated Failure Time Modelling,"Krishna, K. V., and Choudhary, P","104th Annual Transportation Research Board (TRB) Meeting, 2025","Washington, U.S.A",2025,Presented
Analysing the Impact of Listening to Music Among Pedestrians while Crossing the Road,"Krishna, K. V., and Choudhary, P","15th International Conference on Applied Human Factors and Ergonomics (AHFE), 2024","Nice, France",2024,Presented
A Comparison of Visual Scanning Behaviour of Pedestrians at Signalized and Unsignalized Intersections through an Outdoor Study Paradigm,"Krishna, K. V., and Choudhary, P","103rd Annual Transportation Research Board (TRB) Meeting, 2024","Washington, U.S.A",2024,Presented
Investigating Effects of Distraction on Pedestrian Crossing Behaviour: An Experimental Study using an Eye-Tracker in Field,"Krishna, K. V., and Choudhary, P","102nd Annual Transportation Research Board (TRB) Meeting, 2023","Washington, U.S.A",2023,Presented
Assessment of Changes in Pedestrian Risky Behaviour while being Distracted,"Krishna, K. V., and Choudhary, P","14th edition of Traffic and Granular Flow (TGF), 2022","Delhi, India",2022,Presented
Motorized Two Wheeler Lateral Clearance Behavior in Heterogeneous Traffic: A Sensor Based Approach,"Biswal, M., Vamshi krishna, K., Sahoo, S., and Bhuyan, P. K.","International Conference on Structural Engineering and Construction Management, 2022","Delhi, India",2022,Presented
